#chr1	x1	x2	chr2:y1-y2,2
chr10	68290000	68300000	chr10:68870000-68880000,2
chr10	61860000	61870000	chr10:61950000-61960000,2
chr10	41970000	41980000	chr10:42470000-42480000,2
chr10	27280000	27290000	chr10:27330000-27340000,2
chr10	27200000	27210000	chr10:27260000-27270000,2
chr10	5050000	5060000	chr10:5110000-5120000,2
chr10	129550000	129560000	chr10:129600000-129610000,2
chr10	127320000	127330000	chr10:127420000-127430000,2
chr10	97710000	97720000	chr10:98990000-99000000,2
chr10	92890000	92900000	chr10:93010000-93020000,2
chr10	57000000	57010000	chr10:57310000-57320000,2
chr10	47510000	47520000	chr10:47600000-47610000,2
chr10	41020000	41030000	chr10:41290000-41300000,2
chr10	34630000	34640000	chr10:34810000-34820000,2
chr10	3970000	3980000	chr10:4120000-4130000,2
chr10	97770000	97780000	chr10:97950000-97960000,2
chr10	95600000	95610000	chr10:96040000-96050000,2
chr10	81390000	81400000	chr10:81450000-81460000,2
chr10	80280000	80290000	chr10:80560000-80570000,2
chr10	77080000	77090000	chr10:77140000-77150000,2
chr10	70580000	70590000	chr10:70750000-70760000,2
chr10	69880000	69890000	chr10:70170000-70180000,2
chr10	51810000	51820000	chr10:52010000-52020000,2
chr10	27380000	27390000	chr10:27430000-27440000,2
chr10	12690000	12700000	chr10:12980000-12990000,2
chr10	120250000	120260000	chr10:120380000-120390000,2
chr10	117540000	117550000	chr10:117680000-117690000,2
chr10	112200000	112210000	chr10:112770000-112780000,2
chr10	110110000	110120000	chr10:110340000-110350000,2
chr10	100040000	100050000	chr10:100120000-100130000,2
chr10	98630000	98640000	chr10:98990000-99000000,2
chr10	93050000	93060000	chr10:93460000-93470000,2
chr10	88140000	88150000	chr10:88300000-88310000,2
chr10	61200000	61210000	chr10:61660000-61670000,2
chr10	55190000	55200000	chr10:55250000-55260000,2
chr10	52160000	52170000	chr10:52310000-52320000,2
chr10	44460000	44470000	chr10:44630000-44640000,2
chr10	40280000	40290000	chr10:40520000-40530000,2
chr10	28010000	28020000	chr10:28060000-28070000,2
chr10	26490000	26500000	chr10:26890000-26900000,2
chr10	98270000	98280000	chr10:99080000-99090000,2
chr10	97800000	97810000	chr10:97850000-97860000,2
chr10	91030000	91040000	chr10:91240000-91250000,2
chr10	85230000	85240000	chr10:85530000-85540000,2
chr10	80440000	80450000	chr10:80620000-80630000,2
chr10	75170000	75180000	chr10:75390000-75400000,2
chr10	58790000	58800000	chr10:58890000-58900000,2
chr10	54600000	54610000	chr10:55210000-55220000,2
chr10	46720000	46730000	chr10:46780000-46790000,2
chr10	41210000	41220000	chr10:41290000-41300000,2
chr10	29420000	29430000	chr10:29510000-29520000,2
chr10	14970000	14980000	chr10:15040000-15050000,2
chr10	13080000	13090000	chr10:13430000-13440000,2
chr10	4750000	4760000	chr10:4800000-4810000,2
chr10	129460000	129470000	chr10:129550000-129560000,2
chr10	121560000	121570000	chr10:121620000-121630000,2
chr10	93380000	93390000	chr10:93520000-93530000,2
chr10	81550000	81560000	chr10:81600000-81610000,2
chr10	66850000	66860000	chr10:66910000-66920000,2
chr10	117400000	117410000	chr10:117460000-117470000,2
chr10	99740000	99750000	chr10:100080000-100090000,2
chr10	97830000	97840000	chr10:97950000-97960000,2
chr10	70220000	70230000	chr10:70580000-70590000,2
chr10	40650000	40660000	chr10:41280000-41290000,2
chr10	14810000	14820000	chr10:15080000-15090000,2
chr10	5590000	5600000	chr10:5790000-5800000,2
chr10	4590000	4600000	chr10:5040000-5050000,2
chr10	99780000	99790000	chr10:100030000-100040000,2
chr10	94700000	94710000	chr10:95450000-95460000,2
chr10	69210000	69220000	chr10:69650000-69660000,2
chr10	58810000	58820000	chr10:59000000-59010000,2
chr10	54680000	54690000	chr10:54800000-54810000,2
chr10	54070000	54080000	chr10:54590000-54600000,2
chr10	43540000	43550000	chr10:44070000-44080000,2
chr10	41930000	41940000	chr10:41990000-42000000,2
chr10	23380000	23390000	chr10:23510000-23520000,2
chr10	12120000	12130000	chr10:12170000-12180000,2
chr10	116950000	116960000	chr10:117220000-117230000,2
chr10	115630000	115640000	chr10:115830000-115840000,2
chr10	109760000	109770000	chr10:109850000-109860000,2
chr10	101180000	101190000	chr10:101230000-101240000,2
chr10	97950000	97960000	chr10:99080000-99090000,2
chr10	97710000	97720000	chr10:98130000-98140000,2
chr10	89900000	89910000	chr10:90030000-90040000,2
chr10	86240000	86250000	chr10:86460000-86470000,2
chr10	83350000	83360000	chr10:83450000-83460000,2
chr10	73180000	73190000	chr10:73300000-73310000,2
chr10	66680000	66690000	chr10:66770000-66780000,2
chr10	64130000	64140000	chr10:64240000-64250000,2
chr10	61740000	61750000	chr10:62180000-62190000,2
chr10	54850000	54860000	chr10:54970000-54980000,2
chr10	47360000	47370000	chr10:47420000-47430000,2
chr10	44830000	44840000	chr10:44990000-45000000,2
chr10	44380000	44390000	chr10:44560000-44570000,2
chr10	41930000	41940000	chr10:42080000-42090000,2
chr10	27380000	27390000	chr10:27970000-27980000,2
chr10	21480000	21490000	chr10:21700000-21710000,2
chr10	21360000	21370000	chr10:21580000-21590000,2
chr10	15660000	15670000	chr10:15710000-15720000,2
chr10	15390000	15400000	chr10:17010000-17020000,2
chr10	4960000	4970000	chr10:5100000-5110000,2
chr10	3680000	3690000	chr10:3740000-3750000,2
chr10	93050000	93060000	chr10:93580000-93590000,2
chr10	87670000	87680000	chr10:87790000-87800000,2
chr10	86650000	86660000	chr10:86700000-86710000,2
chr10	86500000	86510000	chr10:86690000-86700000,2
chr10	52120000	52130000	chr10:52170000-52180000,2
chr10	41180000	41190000	chr10:41360000-41370000,2
chr10	41110000	41120000	chr10:41280000-41290000,2
chr10	30850000	30860000	chr10:31030000-31040000,2
chr10	27770000	27780000	chr10:27980000-27990000,2
chr10	23350000	23360000	chr10:23780000-23790000,2
chr10	5500000	5510000	chr10:5590000-5600000,2
chr10	111280000	111290000	chr10:111960000-111970000,2
chr10	110110000	110120000	chr10:110640000-110650000,2
chr10	68900000	68910000	chr10:69200000-69210000,2
chr10	60930000	60940000	chr10:61140000-61150000,2
chr10	55880000	55890000	chr10:56330000-56340000,2
chr10	37900000	37910000	chr10:37950000-37960000,2
chr10	129460000	129470000	chr10:129620000-129630000,2
chr10	122530000	122540000	chr10:122770000-122780000,2
chr10	90740000	90750000	chr10:90910000-90920000,2
chr10	80290000	80300000	chr10:80510000-80520000,2
chr10	75520000	75530000	chr10:75920000-75930000,2
chr10	54930000	54940000	chr10:55670000-55680000,2
chr10	31460000	31470000	chr10:31700000-31710000,2
chr10	26130000	26140000	chr10:26190000-26200000,2
chr10	22720000	22730000	chr10:23780000-23790000,2
chr10	4110000	4120000	chr10:4260000-4270000,2
chr10	121820000	121830000	chr10:122050000-122060000,2
chr10	119230000	119240000	chr10:120100000-120110000,2
chr10	78440000	78450000	chr10:78560000-78570000,2
chr10	61860000	61870000	chr10:62240000-62250000,2
chr10	54530000	54540000	chr10:54590000-54600000,2
chr10	53500000	53510000	chr10:53590000-53600000,2
chr10	49420000	49430000	chr10:49670000-49680000,2
chr10	42500000	42510000	chr10:43070000-43080000,2
chr10	41970000	41980000	chr10:42730000-42740000,2
chr10	19240000	19250000	chr10:19910000-19920000,2
chr10	10400000	10410000	chr10:10550000-10560000,2
chr10	122800000	122810000	chr10:123270000-123280000,2
chr10	116080000	116090000	chr10:116310000-116320000,2
chr10	112000000	112010000	chr10:112790000-112800000,2
chr10	105390000	105400000	chr10:105520000-105530000,2
chr10	96920000	96930000	chr10:97330000-97340000,2
chr10	83970000	83980000	chr10:84410000-84420000,2
chr10	80850000	80860000	chr10:81100000-81110000,2
chr10	80280000	80290000	chr10:80390000-80400000,2
chr10	75440000	75450000	chr10:75510000-75520000,2
chr10	41000000	41010000	chr10:41680000-41690000,2
chr10	39020000	39030000	chr10:39100000-39110000,2
chr10	35280000	35290000	chr10:35450000-35460000,2
chr10	25270000	25280000	chr10:25790000-25800000,2
chr10	17020000	17030000	chr10:17240000-17250000,2
chr10	13110000	13120000	chr10:13240000-13250000,2
chr10	128610000	128620000	chr10:128720000-128730000,2
chr10	77670000	77680000	chr10:77890000-77900000,2
chr10	60800000	60810000	chr10:61410000-61420000,2
chr10	42310000	42320000	chr10:42910000-42920000,2
chr10	20690000	20700000	chr10:20920000-20930000,2
chr10	10050000	10060000	chr10:10110000-10120000,2
chr10	129720000	129730000	chr10:129900000-129910000,2
chr10	122100000	122110000	chr10:122800000-122810000,2
chr10	110480000	110490000	chr10:110640000-110650000,2
chr10	75190000	75200000	chr10:75440000-75450000,2
chr10	75170000	75180000	chr10:75460000-75470000,2
chr10	70730000	70740000	chr10:71190000-71200000,2
chr10	68460000	68470000	chr10:68980000-68990000,2
chr10	29530000	29540000	chr10:30410000-30420000,2
chr10	27120000	27130000	chr10:27760000-27770000,2
chr10	129460000	129470000	chr10:130310000-130320000,2
chr10	129460000	129470000	chr10:129900000-129910000,2
chr10	128640000	128650000	chr10:128890000-128900000,2
chr10	120250000	120260000	chr10:120320000-120330000,2
chr10	70360000	70370000	chr10:70900000-70910000,2
chr10	61770000	61780000	chr10:62240000-62250000,2
chr10	51640000	51650000	chr10:52120000-52130000,2
chr10	50710000	50720000	chr10:51400000-51410000,2
chr10	49260000	49270000	chr10:49540000-49550000,2
chr10	41000000	41010000	chr10:41480000-41490000,2
chr10	29430000	29440000	chr10:29690000-29700000,2
chr10	27590000	27600000	chr10:27840000-27850000,2
chr10	123270000	123280000	chr10:123470000-123480000,2
chr10	84390000	84400000	chr10:84620000-84630000,2
chr10	68200000	68210000	chr10:68670000-68680000,2
chr10	62480000	62490000	chr10:62750000-62760000,2
chr10	47360000	47370000	chr10:47990000-48000000,2
chr10	27170000	27180000	chr10:27840000-27850000,2
chr10	15520000	15530000	chr10:15800000-15810000,2
chr10	129380000	129390000	chr10:129670000-129680000,2
chr10	114250000	114260000	chr10:114440000-114450000,2
chr10	100950000	100960000	chr10:101460000-101470000,2
chr10	92360000	92370000	chr10:92580000-92590000,2
chr10	80070000	80080000	chr10:80280000-80290000,2
chr10	61200000	61210000	chr10:61500000-61510000,2
chr10	58690000	58700000	chr10:59090000-59100000,2
chr10	50870000	50880000	chr10:51400000-51410000,2
chr10	47510000	47520000	chr10:48740000-48750000,2
chr10	31030000	31040000	chr10:31310000-31320000,2
chr10	130070000	130080000	chr10:130170000-130180000,2
chr10	99750000	99760000	chr10:100270000-100280000,2
chr10	86300000	86310000	chr10:86700000-86710000,2
chr10	78260000	78270000	chr10:78590000-78600000,2
chr10	60260000	60270000	chr10:60930000-60940000,2
chr10	57260000	57270000	chr10:57410000-57420000,2
chr10	54460000	54470000	chr10:55550000-55560000,2
chr10	34630000	34640000	chr10:35280000-35290000,2
chr10	15950000	15960000	chr10:16110000-16120000,2
chr10	11510000	11520000	chr10:11880000-11890000,2
chr10	7330000	7340000	chr10:7660000-7670000,2
chr10	129550000	129560000	chr10:129650000-129660000,2
chr10	111500000	111510000	chr10:112100000-112110000,2
chr10	106010000	106020000	chr10:106320000-106330000,2
chr10	80510000	80520000	chr10:80910000-80920000,2
chr10	52090000	52100000	chr10:52380000-52390000,2
chr10	32880000	32890000	chr10:33300000-33310000,2
chr10	27240000	27250000	chr10:28050000-28060000,2
chr10	6070000	6080000	chr10:6140000-6150000,2
chr10	3210000	3220000	chr10:3310000-3320000,2
chr10	127520000	127530000	chr10:128270000-128280000,2
chr10	50710000	50720000	chr10:51370000-51380000,2
chr10	47440000	47450000	chr10:47600000-47610000,2
chr10	34550000	34560000	chr10:34870000-34880000,2
chr10	23820000	23830000	chr10:24290000-24300000,2
chr10	11560000	11570000	chr10:11880000-11890000,2
chr10	8180000	8190000	chr10:8640000-8650000,2
chr10	6130000	6140000	chr10:6240000-6250000,2
chr10	108420000	108430000	chr10:108960000-108970000,2
chr10	86500000	86510000	chr10:86630000-86640000,2
chr10	79480000	79490000	chr10:79580000-79590000,2
chr10	57430000	57440000	chr10:58590000-58600000,2
chr10	49180000	49190000	chr10:49780000-49790000,2
chr10	46820000	46830000	chr10:49240000-49250000,2
chr10	97540000	97550000	chr10:99050000-99060000,2
chr10	64630000	64640000	chr10:65210000-65220000,2
chr10	60540000	60550000	chr10:61020000-61030000,2
chr10	60310000	60320000	chr10:60670000-60680000,2
chr10	41760000	41770000	chr10:42610000-42620000,2
chr10	30310000	30320000	chr10:30850000-30860000,2
chr10	69680000	69690000	chr10:70290000-70300000,2
chr10	47680000	47690000	chr10:48070000-48080000,2
chr10	46660000	46670000	chr10:48070000-48080000,2
chr10	44160000	44170000	chr10:44960000-44970000,2
chr10	31790000	31800000	chr10:32740000-32750000,2
chr10	119290000	119300000	chr10:119470000-119480000,2
chr10	106930000	106940000	chr10:107910000-107920000,2
chr10	47180000	47190000	chr10:48070000-48080000,2
chr10	38410000	38420000	chr10:39060000-39070000,2
chr10	10590000	10600000	chr10:16170000-16180000,2
chr10	127320000	127330000	chr10:127800000-127810000,2
chr10	79690000	79700000	chr10:79920000-79930000,2
chr10	79410000	79420000	chr10:79590000-79600000,2
chr10	13320000	13330000	chr10:13640000-13650000,2
chr10	80390000	80400000	chr10:80810000-80820000,2
chr10	41460000	41470000	chr10:42410000-42420000,2
chr10	38550000	38560000	chr10:39040000-39050000,2
chr10	117750000	117760000	chr10:119200000-119210000,2
chr10	93050000	93060000	chr10:93800000-93810000,2
chr10	77580000	77590000	chr10:78590000-78600000,2
chr10	41150000	41160000	chr10:56630000-56640000,2
chr10	22140000	22150000	chr10:22350000-22360000,2
chr10	24140000	24150000	chr10:24620000-24630000,2
chr10	120270000	120280000	chr10:120860000-120870000,2
chr10	41440000	41450000	chr10:41500000-41510000,2
chr10	31310000	31320000	chr10:31460000-31470000,2
chr10	51680000	51690000	chr10:51730000-51740000,2
chr10	68000000	68010000	chr10:68140000-68150000,2
chr10	70170000	70180000	chr10:70220000-70230000,2
chr10	39270000	39280000	chr10:39320000-39330000,2
chr10	69910000	69920000	chr10:69960000-69970000,2
chr10	84340000	84350000	chr10:84390000-84400000,2
chr10	79790000	79800000	chr10:79900000-79910000,2
chr10	25680000	25690000	chr10:26130000-26140000,2
chr10	89730000	89740000	chr10:89800000-89810000,2
chr10	41680000	41690000	chr10:41750000-41760000,2
chr10	22720000	22730000	chr10:22770000-22780000,2
chr10	127570000	127580000	chr10:127670000-127680000,2
chr10	93050000	93060000	chr10:93110000-93120000,2
chr10	99680000	99690000	chr10:99750000-99760000,2
chr10	99200000	99210000	chr10:99250000-99260000,2
chr10	69650000	69660000	chr10:69820000-69830000,2
chr10	27830000	27840000	chr10:27980000-27990000,2
chr10	42300000	42310000	chr10:42470000-42480000,2
chr10	68490000	68500000	chr10:68600000-68610000,2
chr10	95560000	95570000	chr10:95700000-95710000,2
chr10	77510000	77520000	chr10:77600000-77610000,2
chr10	108180000	108190000	chr10:108240000-108250000,2
chr10	107980000	107990000	chr10:108030000-108040000,2
chr10	21580000	21590000	chr10:21990000-22000000,2
chr10	12480000	12490000	chr10:12610000-12620000,2
chr10	62180000	62190000	chr10:62410000-62420000,2
chr10	61210000	61220000	chr10:61310000-61320000,2
chr10	88000000	88010000	chr10:88140000-88150000,2
chr10	67180000	67190000	chr10:67240000-67250000,2
chr10	117130000	117140000	chr10:117180000-117190000,2
chr10	5170000	5180000	chr10:5300000-5310000,2
chr10	94400000	94410000	chr10:94610000-94620000,2
chr10	67870000	67880000	chr10:67930000-67940000,2
chr10	116590000	116600000	chr10:116770000-116780000,2
chr10	94410000	94420000	chr10:94570000-94580000,2
chr10	30620000	30630000	chr10:30810000-30820000,2
chr10	27980000	27990000	chr10:28080000-28090000,2
chr10	69470000	69480000	chr10:69650000-69660000,2
chr10	118800000	118810000	chr10:119070000-119080000,2
chr10	12710000	12720000	chr10:12820000-12830000,2
chr10	62410000	62420000	chr10:62480000-62490000,2
chr10	41440000	41450000	chr10:41680000-41690000,2
chr10	25530000	25540000	chr10:25640000-25650000,2
chr10	12760000	12770000	chr10:12860000-12870000,2
chr10	111220000	111230000	chr10:111270000-111280000,2
chr10	96980000	96990000	chr10:97030000-97040000,2
chr10	87590000	87600000	chr10:88300000-88310000,2
chr10	27260000	27270000	chr10:27310000-27320000,2
chr10	37160000	37170000	chr10:37480000-37490000,2
chr10	77280000	77290000	chr10:77460000-77470000,2
chr10	67100000	67110000	chr10:67180000-67190000,2
chr10	96820000	96830000	chr10:96920000-96930000,2
chr10	99030000	99040000	chr10:99080000-99090000,2
chr10	70040000	70050000	chr10:70090000-70100000,2
chr10	93050000	93060000	chr10:93270000-93280000,2
chr10	83090000	83100000	chr10:83140000-83150000,2
chr10	93070000	93080000	chr10:93210000-93220000,2
chr10	58320000	58330000	chr10:58380000-58390000,2
chr10	93070000	93080000	chr10:93140000-93150000,2
chr10	111700000	111710000	chr10:111750000-111760000,2
chr10	94450000	94460000	chr10:94500000-94510000,2
chr10	93070000	93080000	chr10:93170000-93180000,2
chr10	95560000	95570000	chr10:95620000-95630000,2
chr10	98500000	98510000	chr10:98550000-98560000,2
chr10	25270000	25280000	chr10:25430000-25440000,2
chr10	61600000	61610000	chr10:61650000-61660000,2
chr10	25270000	25280000	chr10:25350000-25360000,2
chr10	67540000	67550000	chr10:67720000-67730000,2
chr10	19520000	19530000	chr10:19590000-19600000,2
chr10	86020000	86030000	chr10:86300000-86310000,2
chr10	40410000	40420000	chr10:40480000-40490000,2
chr10	69210000	69220000	chr10:69260000-69270000,2
chr10	30620000	30630000	chr10:30670000-30680000,2
chr10	80850000	80860000	chr10:80990000-81000000,2
chr10	90080000	90090000	chr10:90680000-90690000,2
chr10	99980000	99990000	chr10:100080000-100090000,2
chr10	37620000	37630000	chr10:37690000-37700000,2
chr10	45760000	45770000	chr10:45810000-45820000,2
chr10	93050000	93060000	chr10:93520000-93530000,2
chr10	17750000	17760000	chr10:17860000-17870000,2
chr10	41830000	41840000	chr10:42110000-42120000,2
chr10	93050000	93060000	chr10:93380000-93390000,2
chr10	117400000	117410000	chr10:117680000-117690000,2
chr10	20440000	20450000	chr10:20500000-20510000,2
chr10	54600000	54610000	chr10:54680000-54690000,2
chr10	86700000	86710000	chr10:86770000-86780000,2
chr10	14540000	14550000	chr10:14590000-14600000,2
chr10	67270000	67280000	chr10:67720000-67730000,2
chr10	93050000	93060000	chr10:93430000-93440000,2
chr10	111650000	111660000	chr10:111960000-111970000,2
chr10	13740000	13750000	chr10:13940000-13950000,2
chr10	30720000	30730000	chr10:30800000-30810000,2
chr10	3530000	3540000	chr10:3970000-3980000,2
chr10	42500000	42510000	chr10:42730000-42740000,2
chr10	82980000	82990000	chr10:83180000-83190000,2
chr10	66870000	66880000	chr10:67200000-67210000,2
chr10	86220000	86230000	chr10:86270000-86280000,2
chr10	127540000	127550000	chr10:127660000-127670000,2
chr10	112900000	112910000	chr10:112950000-112960000,2
chr10	84640000	84650000	chr10:84930000-84940000,2
chr10	99670000	99680000	chr10:100000000-100010000,2
chr10	3560000	3570000	chr10:3940000-3950000,2
chr10	116560000	116570000	chr10:116770000-116780000,2
chr10	85040000	85050000	chr10:85100000-85110000,2
chr10	53900000	53910000	chr10:53970000-53980000,2
chr10	74950000	74960000	chr10:75000000-75010000,2
chr10	93070000	93080000	chr10:93240000-93250000,2
chr10	67360000	67370000	chr10:67710000-67720000,2
chr10	60560000	60570000	chr10:60620000-60630000,2
chr10	79690000	79700000	chr10:79760000-79770000,2
chr10	31390000	31400000	chr10:31460000-31470000,2
chr10	54200000	54210000	chr10:54260000-54270000,2
chr10	22720000	22730000	chr10:23070000-23080000,2
chr10	119660000	119670000	chr10:119770000-119780000,2
chr10	95770000	95780000	chr10:95820000-95830000,2
chr10	83040000	83050000	chr10:83350000-83360000,2
chr10	21480000	21490000	chr10:21990000-22000000,2
chr10	107930000	107940000	chr10:107980000-107990000,2
chr10	69850000	69860000	chr10:69960000-69970000,2
chr10	25570000	25580000	chr10:25680000-25690000,2
